	well (1>KAN)	row	measure
gby	1	1	11.643
gby	2	1	7.273
gby	3	1	6.831
gby	4	1	6.257
gby	5	1	5.577
wcl	1	2	15.301
wcl	2	2	14.075
wcl	3	2	9.7
wcl	4	2	6.943
wcl	5	2	6.596
50	1	3	13.09
50	2	3	14.294
50	3	3	12.74
50	4	3	7.858
50	5	3	6.555
s1	1	4	3.15
s1	2	4	6.037
s1	3	4	5.617
s1	4	4	4.445
s1	5	4	3.111
s3	1	5	12.226
s3	2	5	13.554
s3	3	5	11.852
s3	4	5	8.508
s3	5	5	6.595
s5	1	6	13.874
s5	2	6	10.113
s5	3	6	9.41
s5	4	6	7.933
s5	5	6	5.899
