
0.228 	0.317 	0.297 	0.298 	0.282 	0.080 	0.080 	0.133 	0.137 	0.130 	0.133 	0.137
0.158 	0.243 	0.244 	0.279 	0.280 	0.081 	0.081 	0.129 	0.133 	0.125 	0.128 	0.139
0.252 	0.302 	0.274 	0.264 	0.297 	0.080 	0.082 	0.138 	0.140 	0.135 	0.128 	0.130
0.247 	0.266 	0.280 	0.280 	0.293 	0.080 	0.080 	0.145 	0.142 	0.139 	0.134 	0.136
0.259 	0.271 	0.274 	0.304 	0.359 	0.080 	0.079 	0.152 	0.149 	0.144 	0.143 	0.146
0.254 	0.271 	0.301 	0.224 	0.290 	0.080 	0.080 	0.152 	0.154 	0.152 	0.141 	0.141
0.146 	0.300 	0.316 	0.266 	0.329 	0.080 	0.080 	0.144 	0.164 	0.156 	0.150 	0.151
0.080 	0.080 	0.081 	0.081 	0.081 	0.080 	0.081 	0.081 	0.081 	0.081 	0.080 	0.080



