 ,Area,Mean,Min,Max
1,175717,5.471,0,45
2,175717,5.753,0,25
3,175717,1.984,0,101
4,175717,1.864,0,77
5,175717,1.658,0,104
6,175717,4.801,0,38
7,175717,4.726,1,19
8,175717,3.691,0,15
9,175717,1.732,0,16
10,175717,1.581,0,76
11,175717,4.270,0,9
12,175717,4.809,0,15
13,175717,4.570,0,10
14,175717,4.476,0,9
15,175717,1.268,0,5
