 ,Area,Mean,Min,Max
1,168393,11.679,1,17
2,168393,13.382,5,21
3,168393,14.454,5,105
4,168393,14.016,6,92
5,168393,1.485,0,5
6,168393,5.021,0,9
7,168393,6.155,2,11
8,168393,6.251,2,78
9,168393,6.175,1,10
10,168393,1.596,0,76
11,168393,1.094,0,4
12,168393,1.270,0,5
13,168393,1.419,0,6
14,168393,1.512,0,5
15,168393,1.246,0,5
