 ,Area,Mean,Min,Max
1,175717,6.741,1,51
2,175717,8.326,1,22
3,175717,13.048,1,108
4,175717,14.429,1,90
5,175717,13.563,1,115
6,175717,6.847,1,13
7,175717,7.324,2,15
8,175717,9.773,2,21
9,175717,14.609,5,39
10,175717,15.525,1,79
11,175717,5.575,1,10
12,175717,6.571,1,11
13,175717,7.098,1,16
14,175717,7.535,0,15
15,175717,11.790,1,18
